Fiscal Year,Agency Number,Agency Name,County,Major Spending Category,Amount
2021,101,SENATE,DENTON,EMPLOYEE BENEFITS,57513.41
2021,101,SENATE,EL PASO,EMPLOYEE BENEFITS,80811.06
2021,101,SENATE,FANNIN,EMPLOYEE BENEFITS,10231.39
2021,101,SENATE,FORT BEND,EMPLOYEE BENEFITS,50185.43
2021,101,SENATE,GALVESTON,EMPLOYEE BENEFITS,10728.56
2021,101,SENATE,GRAYSON,EMPLOYEE BENEFITS,19166.2
2021,101,SENATE,GUADALUPE,EMPLOYEE BENEFITS,75822.21
2021,101,SENATE,HARRIS,EMPLOYEE BENEFITS,327791.17
2021,101,SENATE,HARRISON,EMPLOYEE BENEFITS,20485.36
2021,101,SENATE,HAYS,EMPLOYEE BENEFITS,391442.94
2021,101,SENATE,HIDALGO,EMPLOYEE BENEFITS,61734.4
2021,101,SENATE,HOOD,EMPLOYEE BENEFITS,2150.12
2021,101,SENATE,HOWARD,EMPLOYEE BENEFITS,7644.87
2021,101,SENATE,JOHNSON,EMPLOYEE BENEFITS,2150.12
2021,101,SENATE,KAUFMAN,EMPLOYEE BENEFITS,1990.85
2021,101,SENATE,KERR,EMPLOYEE BENEFITS,3714.93
2021,101,SENATE,LEE,EMPLOYEE BENEFITS,17105.42
2021,101,SENATE,LLANO,EMPLOYEE BENEFITS,298.63
2021,101,SENATE,LUBBOCK,EMPLOYEE BENEFITS,21489.33
2021,101,SENATE,MAVERICK,EMPLOYEE BENEFITS,3967.48
2021,101,SENATE,MCLENNAN,EMPLOYEE BENEFITS,17308.46
2021,101,SENATE,MIDLAND,EMPLOYEE BENEFITS,19285.66
2021,101,SENATE,MILAM,EMPLOYEE BENEFITS,15084.5
2021,101,SENATE,MONTGOMERY,EMPLOYEE BENEFITS,22743.06
2021,101,SENATE,NUECES,EMPLOYEE BENEFITS,9832.46
2021,101,SENATE,ORANGE,EMPLOYEE BENEFITS,13175.45
2021,101,SENATE,PARKER,EMPLOYEE BENEFITS,29076.37
2021,101,SENATE,PECOS,EMPLOYEE BENEFITS,7595.81
2021,101,SENATE,RANDALL,EMPLOYEE BENEFITS,26350.91
2021,101,SENATE,ROCKWALL,EMPLOYEE BENEFITS,19781.1
2021,101,SENATE,RUSK,EMPLOYEE BENEFITS,29490.68
2021,101,SENATE,SAN AUGUSTINE,EMPLOYEE BENEFITS,22647.92
2021,101,SENATE,SAN PATRICIO,EMPLOYEE BENEFITS,12267.03
2021,101,SENATE,SMITH,EMPLOYEE BENEFITS,13808.54
2021,101,SENATE,TARRANT,EMPLOYEE BENEFITS,96573.2
2021,101,SENATE,TAYLOR,EMPLOYEE BENEFITS,6103.95
2021,101,SENATE,TOM GREEN,EMPLOYEE BENEFITS,12972.39
2021,101,SENATE,TRAVIS,EMPLOYEE BENEFITS,5893945.58
2021,101,SENATE,VAL VERDE,EMPLOYEE BENEFITS,7407.67
2021,101,SENATE,VAN ZANDT,EMPLOYEE BENEFITS,12986.04
2021,101,SENATE,VICTORIA,EMPLOYEE BENEFITS,8958.83
2021,101,SENATE,WALKER,EMPLOYEE BENEFITS,8812.91
2021,101,SENATE,WASHINGTON,EMPLOYEE BENEFITS,64422.95
2021,101,SENATE,WEBB,EMPLOYEE BENEFITS,25911.13
2021,101,SENATE,WICHITA,EMPLOYEE BENEFITS,7284.86
2021,101,SENATE,WILLACY,EMPLOYEE BENEFITS,11144.79
2021,101,SENATE,WILLIAMSON,EMPLOYEE BENEFITS,701873.62
2021,101,SENATE,WOOD,EMPLOYEE BENEFITS,12168.78
2021,101,SENATE,,SUPPLIES AND MATERIALS,286470.97
2021,101,SENATE,ANDERSON,SUPPLIES AND MATERIALS,203.88
2021,101,SENATE,ANGELINA,SUPPLIES AND MATERIALS,234
2021,101,SENATE,ARCHER,SUPPLIES AND MATERIALS,35
2021,101,SENATE,ATASCOSA,SUPPLIES AND MATERIALS,45
2021,101,SENATE,AUSTIN,SUPPLIES AND MATERIALS,154
2021,101,SENATE,BASTROP,SUPPLIES AND MATERIALS,44
2021,101,SENATE,BEE,SUPPLIES AND MATERIALS,240
2021,101,SENATE,BELL,SUPPLIES AND MATERIALS,667
2021,101,SENATE,BEXAR,SUPPLIES AND MATERIALS,23987.03
2021,101,SENATE,BOSQUE,SUPPLIES AND MATERIALS,53
2021,101,SENATE,BOWIE,SUPPLIES AND MATERIALS,352
2021,101,SENATE,BRAZORIA,SUPPLIES AND MATERIALS,210
2021,101,SENATE,BREWSTER,SUPPLIES AND MATERIALS,48
2021,101,SENATE,BURLESON,SUPPLIES AND MATERIALS,50
2021,101,SENATE,BURNET,SUPPLIES AND MATERIALS,80
2021,101,SENATE,CALDWELL,SUPPLIES AND MATERIALS,42
2021,101,SENATE,CALHOUN,SUPPLIES AND MATERIALS,125
2021,101,SENATE,CALLAHAN,SUPPLIES AND MATERIALS,34
2021,101,SENATE,CHEROKEE,SUPPLIES AND MATERIALS,127
2021,101,SENATE,CLAY,SUPPLIES AND MATERIALS,69
2021,101,SENATE,COKE,SUPPLIES AND MATERIALS,35
2021,101,SENATE,COLEMAN,SUPPLIES AND MATERIALS,36
2021,101,SENATE,COLLIN,SUPPLIES AND MATERIALS,200
2021,101,SENATE,COLORADO,SUPPLIES AND MATERIALS,133.5
2021,101,SENATE,COMAL,SUPPLIES AND MATERIALS,154
2021,101,SENATE,COMANCHE,SUPPLIES AND MATERIALS,32
2021,101,SENATE,CONCHO,SUPPLIES AND MATERIALS,30
2021,101,SENATE,COOKE,SUPPLIES AND MATERIALS,139.21
2021,101,SENATE,CORYELL,SUPPLIES AND MATERIALS,47.26
2021,101,SENATE,CROCKETT,SUPPLIES AND MATERIALS,59
2021,101,SENATE,DALLAS,SUPPLIES AND MATERIALS,38901.77
2021,101,SENATE,DENTON,SUPPLIES AND MATERIALS,208.69
2021,101,SENATE,DEWITT,SUPPLIES AND MATERIALS,49
2021,101,SENATE,DIMMIT,SUPPLIES AND MATERIALS,45
2021,101,SENATE,DONLEY,SUPPLIES AND MATERIALS,40
2021,101,SENATE,EDWARDS,SUPPLIES AND MATERIALS,30
2021,101,SENATE,ELLIS,SUPPLIES AND MATERIALS,247
2021,101,SENATE,FAYETTE,SUPPLIES AND MATERIALS,94
2021,101,SENATE,FORT BEND,SUPPLIES AND MATERIALS,100
2021,101,SENATE,FREESTONE,SUPPLIES AND MATERIALS,36
2021,101,SENATE,FRIO,SUPPLIES AND MATERIALS,72
2021,101,SENATE,GAINES,SUPPLIES AND MATERIALS,59.75
2021,101,SENATE,GILLESPIE,SUPPLIES AND MATERIALS,50
2021,101,SENATE,GRAYSON,SUPPLIES AND MATERIALS,25
2021,101,SENATE,GREGG,SUPPLIES AND MATERIALS,1175.29
2021,101,SENATE,GRIMES,SUPPLIES AND MATERIALS,47
2021,101,SENATE,HARDEMAN,SUPPLIES AND MATERIALS,37
2021,101,SENATE,HARDIN,SUPPLIES AND MATERIALS,30
2021,101,SENATE,HARRIS,SUPPLIES AND MATERIALS,3150.35
2021,101,SENATE,HAYS,SUPPLIES AND MATERIALS,405
2021,101,SENATE,HEMPHILL,SUPPLIES AND MATERIALS,65
2021,101,SENATE,HENDERSON,SUPPLIES AND MATERIALS,116.65
2021,101,SENATE,HIDALGO,SUPPLIES AND MATERIALS,276.28
2021,101,SENATE,HOOD,SUPPLIES AND MATERIALS,50
2021,101,SENATE,HOUSTON,SUPPLIES AND MATERIALS,48
2021,101,SENATE,JACKSON,SUPPLIES AND MATERIALS,45
2021,101,SENATE,JIM HOGG,SUPPLIES AND MATERIALS,40
2021,101,SENATE,KAUFMAN,SUPPLIES AND MATERIALS,36
2021,101,SENATE,KENDALL,SUPPLIES AND MATERIALS,70
2021,101,SENATE,KERR,SUPPLIES AND MATERIALS,234
2021,101,SENATE,KIMBLE,SUPPLIES AND MATERIALS,30
2021,101,SENATE,LAMPASAS,SUPPLIES AND MATERIALS,57
2021,101,SENATE,LAVACA,SUPPLIES AND MATERIALS,132
2021,101,SENATE,LEE,SUPPLIES AND MATERIALS,113
2021,101,SENATE,LIMESTONE,SUPPLIES AND MATERIALS,76
2021,101,SENATE,MASON,SUPPLIES AND MATERIALS,52
2021,101,SENATE,MCCULLOCH,SUPPLIES AND MATERIALS,45
2021,101,SENATE,MIDLAND,SUPPLIES AND MATERIALS,120
2021,101,SENATE,MILAM,SUPPLIES AND MATERIALS,45
2021,101,SENATE,MITCHELL,SUPPLIES AND MATERIALS,45
2021,101,SENATE,MONTAGUE,SUPPLIES AND MATERIALS,20
2021,101,SENATE,NACOGDOCHES,SUPPLIES AND MATERIALS,192
2021,101,SENATE,NEWTON,SUPPLIES AND MATERIALS,58
2021,101,SENATE,NUECES,SUPPLIES AND MATERIALS,44
2021,101,SENATE,PARKER,SUPPLIES AND MATERIALS,199.87
2021,101,SENATE,PARMER,SUPPLIES AND MATERIALS,39
2021,101,SENATE,PECOS,SUPPLIES AND MATERIALS,41
2021,101,SENATE,PRESIDIO,SUPPLIES AND MATERIALS,110
2021,101,SENATE,REEVES,SUPPLIES AND MATERIALS,120
2021,101,SENATE,ROBERTSON,SUPPLIES AND MATERIALS,48.95
2021,101,SENATE,SABINE,SUPPLIES AND MATERIALS,35
2021,101,SENATE,SAN AUGUSTINE,SUPPLIES AND MATERIALS,30
2021,101,SENATE,SAN JACINTO,SUPPLIES AND MATERIALS,60
2021,101,SENATE,SAN PATRICIO,SUPPLIES AND MATERIALS,98
2021,101,SENATE,SCHLEICHER,SUPPLIES AND MATERIALS,143.85
2021,101,SENATE,SUTTON,SUPPLIES AND MATERIALS,47.95
2021,101,SENATE,TITUS,SUPPLIES AND MATERIALS,60
2021,101,SENATE,TRAVIS,SUPPLIES AND MATERIALS,719565.64
2021,101,SENATE,TRINITY,SUPPLIES AND MATERIALS,40
2021,101,SENATE,TYLER,SUPPLIES AND MATERIALS,55
2021,101,SENATE,UVALDE,SUPPLIES AND MATERIALS,59
2021,101,SENATE,VAL VERDE,SUPPLIES AND MATERIALS,-318
2021,101,SENATE,WALKER,SUPPLIES AND MATERIALS,239.89
2021,101,SENATE,WARD,SUPPLIES AND MATERIALS,60
2021,101,SENATE,WASHINGTON,SUPPLIES AND MATERIALS,200
2021,101,SENATE,WHARTON,SUPPLIES AND MATERIALS,161
2021,101,SENATE,WICHITA,SUPPLIES AND MATERIALS,69
2021,101,SENATE,WILLIAMSON,SUPPLIES AND MATERIALS,70369.38
2021,101,SENATE,WILSON,SUPPLIES AND MATERIALS,37
2021,101,SENATE,WISE,SUPPLIES AND MATERIALS,25
2021,101,SENATE,WOOD,SUPPLIES AND MATERIALS,34
2021,101,SENATE,YOUNG,SUPPLIES AND MATERIALS,46.3
2021,101,SENATE,ZAPATA,SUPPLIES AND MATERIALS,47
2021,101,SENATE,ZAVALA,SUPPLIES AND MATERIALS,47.5
2021,101,SENATE,,OTHER EXPENDITURES,88909.42
2021,101,SENATE,BASTROP,OTHER EXPENDITURES,37.8
2021,101,SENATE,BELL,OTHER EXPENDITURES,840
2021,101,SENATE,BEXAR,OTHER EXPENDITURES,490
2021,101,SENATE,CAMERON,OTHER EXPENDITURES,550
2021,101,SENATE,CHILDRESS,OTHER EXPENDITURES,1875
2021,101,SENATE,COOKE,OTHER EXPENDITURES,100
2021,101,SENATE,DALLAS,OTHER EXPENDITURES,68689.23
2021,101,SENATE,HARDIN,OTHER EXPENDITURES,1505
2021,101,SENATE,HARRIS,OTHER EXPENDITURES,386712.26
2021,101,SENATE,HAYS,OTHER EXPENDITURES,5610
2021,101,SENATE,HIDALGO,OTHER EXPENDITURES,903.21
2021,101,SENATE,SMITH,OTHER EXPENDITURES,264
2021,101,SENATE,TARRANT,OTHER EXPENDITURES,12175
2021,101,SENATE,TRAVIS,OTHER EXPENDITURES,124072.28
2021,101,SENATE,WILLIAMSON,OTHER EXPENDITURES,2964.99
2021,101,SENATE,ATASCOSA,TRAVEL,2610.06
2021,101,SENATE,BELL,TRAVEL,2330.26
2021,101,SENATE,BEXAR,TRAVEL,79890.85
2021,101,SENATE,BRAZORIA,TRAVEL,563.55
2021,101,SENATE,CAMERON,TRAVEL,51833.91
2021,101,SENATE,CHEROKEE,TRAVEL,53087.95
2021,101,SENATE,CHILDRESS,TRAVEL,1274.15
2021,101,SENATE,COLLIN,TRAVEL,59784.18
2021,101,SENATE,COMAL,TRAVEL,43009.35
2021,101,SENATE,COOKE,TRAVEL,43795.34
2021,101,SENATE,DALLAS,TRAVEL,85762.7
2021,101,SENATE,DENTON,TRAVEL,94153.71
2021,101,SENATE,EL PASO,TRAVEL,45374.14
2021,101,SENATE,FANNIN,TRAVEL,4340.12
2021,101,SENATE,FORT BEND,TRAVEL,1141.8
2021,101,SENATE,GALVESTON,TRAVEL,63154.26
2021,101,SENATE,HARRIS,TRAVEL,236916.59
2021,101,SENATE,HARRISON,TRAVEL,2629.2
2021,101,SENATE,HAYS,TRAVEL,434
2021,101,SENATE,HIDALGO,TRAVEL,47011.49
2021,101,SENATE,HOOD,TRAVEL,40330.5
2021,101,SENATE,JEFFERSON,TRAVEL,190
2021,101,SENATE,JOHNSON,TRAVEL,42312.21
2021,101,SENATE,LLANO,TRAVEL,394.35
2021,101,SENATE,LUBBOCK,TRAVEL,51198.25
2021,101,SENATE,MCLENNAN,TRAVEL,6.05
2021,101,SENATE,MILAM,TRAVEL,2075.8
2021,101,SENATE,MONTGOMERY,TRAVEL,63966.4
2021,101,SENATE,ORANGE,TRAVEL,1435.99
2021,101,SENATE,PARKER,TRAVEL,4472.66
2021,101,SENATE,PECOS,TRAVEL,321
2021,101,SENATE,RANDALL,TRAVEL,60503.08
2021,101,SENATE,ROCKWALL,TRAVEL,2614.28
2021,101,SENATE,RUSK,TRAVEL,1397.36
2021,101,SENATE,SMITH,TRAVEL,804.55
2021,101,SENATE,TARRANT,TRAVEL,7067.96
2021,101,SENATE,TAYLOR,TRAVEL,924.64
2021,101,SENATE,TOM GREEN,TRAVEL,973.4
2021,101,SENATE,TRAVIS,TRAVEL,109479
2021,101,SENATE,VAL VERDE,TRAVEL,140.1
2021,101,SENATE,VAN ZANDT,TRAVEL,46042.92
2021,101,SENATE,VICTORIA,TRAVEL,1180
2021,101,SENATE,WALKER,TRAVEL,428.7
2021,101,SENATE,WASHINGTON,TRAVEL,40986.75
2021,101,SENATE,WEBB,TRAVEL,43689.98
2021,101,SENATE,WICHITA,TRAVEL,166.5
2021,101,SENATE,WILLIAMSON,TRAVEL,41633.55
2021,101,SENATE,WOOD,TRAVEL,55047.2
2021,101,SENATE,,PROFESSIONAL SERVICE AND FEES,32890.77
2021,101,SENATE,TRAVIS,PROFESSIONAL SERVICE AND FEES,6896.25
2021,101,SENATE,,REPAIRS AND MAINTENANCE,26575.56
2021,101,SENATE,BEXAR,REPAIRS AND MAINTENANCE,220
2021,101,SENATE,DALLAS,REPAIRS AND MAINTENANCE,2000
2021,101,SENATE,HARRIS,REPAIRS AND MAINTENANCE,282.54
2021,101,SENATE,HAYS,REPAIRS AND MAINTENANCE,400
2021,101,SENATE,TRAVIS,REPAIRS AND MAINTENANCE,6487.22
2021,101,SENATE,WILLIAMSON,REPAIRS AND MAINTENANCE,10183.91
2021,101,SENATE,,COMMUNICATIONS AND UTILITIES,185935.86
2021,101,SENATE,ANGELINA,COMMUNICATIONS AND UTILITIES,1565.31
2021,101,SENATE,BEXAR,COMMUNICATIONS AND UTILITIES,1803.02
2021,101,SENATE,CHEROKEE,COMMUNICATIONS AND UTILITIES,1194.21
2021,101,SENATE,CHILDRESS,COMMUNICATIONS AND UTILITIES,747.54
2021,101,SENATE,COMAL,COMMUNICATIONS AND UTILITIES,6420
2021,101,SENATE,COOKE,COMMUNICATIONS AND UTILITIES,594.66
2021,101,SENATE,DALLAS,COMMUNICATIONS AND UTILITIES,38496.6
2021,101,SENATE,HARRIS,COMMUNICATIONS AND UTILITIES,4958.5
2021,101,SENATE,HIDALGO,COMMUNICATIONS AND UTILITIES,678.67
2021,101,SENATE,KAUFMAN,COMMUNICATIONS AND UTILITIES,6201.75
2021,101,SENATE,PECOS,COMMUNICATIONS AND UTILITIES,1344.26
2021,101,SENATE,TARRANT,COMMUNICATIONS AND UTILITIES,450.87
2021,101,SENATE,,RENTALS AND LEASES,454825.06
2021,101,SENATE,ANGELINA,RENTALS AND LEASES,6000
2021,101,SENATE,ATASCOSA,RENTALS AND LEASES,438.71
2021,101,SENATE,BASTROP,RENTALS AND LEASES,3000
2021,101,SENATE,BELL,RENTALS AND LEASES,15232
2021,101,SENATE,BEXAR,RENTALS AND LEASES,70121.47
2021,101,SENATE,BOWIE,RENTALS AND LEASES,6912
2021,101,SENATE,BRAZORIA,RENTALS AND LEASES,29586.96
2021,101,SENATE,BRAZOS,RENTALS AND LEASES,30229.55
2021,101,SENATE,CAMERON,RENTALS AND LEASES,42799.74
2021,101,SENATE,CHILDRESS,RENTALS AND LEASES,8600
2021,101,SENATE,COLLIN,RENTALS AND LEASES,73477.68
2021,101,SENATE,COMAL,RENTALS AND LEASES,40500
2021,101,SENATE,COOKE,RENTALS AND LEASES,1959.68
2021,101,SENATE,DALLAS,RENTALS AND LEASES,136888.77
2021,101,SENATE,EL PASO,RENTALS AND LEASES,26259.16
2021,101,SENATE,FORT BEND,RENTALS AND LEASES,15900
2021,101,SENATE,GALVESTON,RENTALS AND LEASES,8256
2021,101,SENATE,GREGG,RENTALS AND LEASES,6000
2021,101,SENATE,HARRIS,RENTALS AND LEASES,287089.92
2021,101,SENATE,HARRISON,RENTALS AND LEASES,8055.49
2021,101,SENATE,HIDALGO,RENTALS AND LEASES,22912
2021,101,SENATE,HOOD,RENTALS AND LEASES,20224.52
2021,101,SENATE,HOWARD,RENTALS AND LEASES,5600
2021,101,SENATE,JEFFERSON,RENTALS AND LEASES,21894.4
2021,101,SENATE,KERR,RENTALS AND LEASES,3380.64
2021,101,SENATE,MCLENNAN,RENTALS AND LEASES,19548.38
2021,101,SENATE,MIDLAND,RENTALS AND LEASES,25112.04
2021,101,SENATE,NUECES,RENTALS AND LEASES,17046.61
2021,101,SENATE,PARKER,RENTALS AND LEASES,5909.68
2021,101,SENATE,PECOS,RENTALS AND LEASES,2632.26
2021,101,SENATE,POTTER,RENTALS AND LEASES,20460
2021,101,SENATE,PRESIDIO,RENTALS AND LEASES,1800
2021,101,SENATE,ROCKWALL,RENTALS AND LEASES,23700
2021,101,SENATE,SMITH,RENTALS AND LEASES,27000
2021,101,SENATE,TARRANT,RENTALS AND LEASES,118695.96
2021,101,SENATE,TAYLOR,RENTALS AND LEASES,3654.19
2021,101,SENATE,TOM GREEN,RENTALS AND LEASES,11600
2021,101,SENATE,VAL VERDE,RENTALS AND LEASES,1096.77
2021,101,SENATE,VAN ZANDT,RENTALS AND LEASES,18480
2021,101,SENATE,VICTORIA,RENTALS AND LEASES,5886.6
2021,101,SENATE,WEBB,RENTALS AND LEASES,9600
2021,101,SENATE,WICHITA,RENTALS AND LEASES,3200
2021,101,SENATE,WILLIAMSON,RENTALS AND LEASES,15000
2021,101,SENATE,,PRINTING AND REPRODUCTION,63830.2
2021,101,SENATE,BASTROP,PRINTING AND REPRODUCTION,166552.48
2021,101,SENATE,BEXAR,PRINTING AND REPRODUCTION,28779.5
2021,101,SENATE,DALLAS,PRINTING AND REPRODUCTION,555.46
2021,101,SENATE,MONTGOMERY,PRINTING AND REPRODUCTION,4700
2021,101,SENATE,TARRANT,PRINTING AND REPRODUCTION,202
2021,101,SENATE,TRAVIS,PRINTING AND REPRODUCTION,93003.5
2021,101,SENATE,WILLIAMSON,PRINTING AND REPRODUCTION,38081.79
2021,102,HOUSE OF REPRESENTATIVES,,SALARIES AND WAGES,105979.8
2021,102,HOUSE OF REPRESENTATIVES,ANDERSON,SALARIES AND WAGES,7200
2021,102,HOUSE OF REPRESENTATIVES,ANGELINA,SALARIES AND WAGES,79562.86
2021,102,HOUSE OF REPRESENTATIVES,AUSTIN,SALARIES AND WAGES,105080
2021,102,HOUSE OF REPRESENTATIVES,BASTROP,SALARIES AND WAGES,333101.18
2021,102,HOUSE OF REPRESENTATIVES,BELL,SALARIES AND WAGES,200019.17
2021,102,HOUSE OF REPRESENTATIVES,BEXAR,SALARIES AND WAGES,897817.59
2021,102,HOUSE OF REPRESENTATIVES,BLANCO,SALARIES AND WAGES,25044
2021,102,HOUSE OF REPRESENTATIVES,BOSQUE,SALARIES AND WAGES,21083.2
2021,102,HOUSE OF REPRESENTATIVES,BOWIE,SALARIES AND WAGES,31193.15
2021,102,HOUSE OF REPRESENTATIVES,BRAZORIA,SALARIES AND WAGES,145927.01
2021,102,HOUSE OF REPRESENTATIVES,BRAZOS,SALARIES AND WAGES,126906.85
2021,102,HOUSE OF REPRESENTATIVES,BROWN,SALARIES AND WAGES,41012.86
2021,102,HOUSE OF REPRESENTATIVES,BURNET,SALARIES AND WAGES,7200
2021,102,HOUSE OF REPRESENTATIVES,CALDWELL,SALARIES AND WAGES,129925.3
2021,102,HOUSE OF REPRESENTATIVES,CAMERON,SALARIES AND WAGES,198011.49
2021,102,HOUSE OF REPRESENTATIVES,CHAMBERS,SALARIES AND WAGES,33795
2021,102,HOUSE OF REPRESENTATIVES,COLLIN,SALARIES AND WAGES,354756.55
2021,102,HOUSE OF REPRESENTATIVES,COLORADO,SALARIES AND WAGES,153391.06
2021,102,HOUSE OF REPRESENTATIVES,COMAL,SALARIES AND WAGES,222251.47
2021,102,HOUSE OF REPRESENTATIVES,COOKE,SALARIES AND WAGES,19411.43
2021,102,HOUSE OF REPRESENTATIVES,CORYELL,SALARIES AND WAGES,19285.72
2021,102,HOUSE OF REPRESENTATIVES,CROSBY,SALARIES AND WAGES,24528.57
2021,102,HOUSE OF REPRESENTATIVES,DALLAS,SALARIES AND WAGES,1361438.96
2021,102,HOUSE OF REPRESENTATIVES,DENTON,SALARIES AND WAGES,477533.11
2021,102,HOUSE OF REPRESENTATIVES,DEWITT,SALARIES AND WAGES,17928.57
2021,102,HOUSE OF REPRESENTATIVES,DUVAL,SALARIES AND WAGES,14380.95
2021,102,HOUSE OF REPRESENTATIVES,EASTLAND,SALARIES AND WAGES,3500
2021,102,HOUSE OF REPRESENTATIVES,ECTOR,SALARIES AND WAGES,23326.09
