ID,Name,Description,Created,Updated,Link
vfba-b57j,"Sales Tax Allocation, City","Sales tax allocation comparison summary reports present data on monthly local sales and use tax payments to local jurisdictions. These payments represent funds identified for local jurisdictions since the previous months distribution. When used with other local indicators, these reports may help indicate present and future economic trends. This table lists entities alphabetically by city. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies.",2016-08-02T21:13:20.000Z,2025-02-12T17:35:12.000Z,https://data.texas.gov/dataset/Sales-Tax-Allocation-City/vfba-b57j
8gur-z4cy,Texas Tax-Exempt Entities,"This file contains a list of nonprofit and other types of organizations that hold state tax exemption from Sales and Use tax, Franchise tax, and Hotel Occupancy tax. Statewide group organizations might have one listing with All Branches as the city, rather than a separate listing for each local chapter.",2018-08-24T17:50:38.000Z,2022-11-28T15:53:43.000Z,https://data.texas.gov/dataset/Texas-Tax-Exempt-Entities/8gur-z4cy
iekx-7mdi,TDA Data Overview - Child and Adult Care Food Programs,Overview of Child and Adult Care Food Program CACFP data available on the Texas Open Data Portal from the Department of Agriculture.,2019-02-07T21:14:31.000Z,2025-01-07T16:59:38.270Z,https://data.texas.gov/stories/s/iekx-7mdi
karz-jr5v,Key Economic Indicators,"An economic indicator is a statistic about an economic activity, and they allow analysis of economic performance and predictions of current and future economic performance. The TX Comptrollers Key Economic Indicators includes such measures for TX  the US employment and unemployment, consumer confidence, price inflation, housing data, etc. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies.",2016-03-16T13:20:55.000Z,2025-02-06T13:53:28.000Z,https://data.texas.gov/dataset/Key-Economic-Indicators/karz-jr5v
3yqc-fcdt,Insurance agencies and businesses approved to manage insurance-related products,"The Texas Department of Insurance TDI is responsible for licensing, registering, certifying, and regulating agencies and businesses that want to sell insurance or adjust property and casualty claims in Texas. This data set includes a row for each license held by an agency or business. An agency or business with more than one license will be listed in multiple rows. To view a list of people licensed by TDI, go to the Insurance agent and adjusters data set. To learn more about the type of licenses in this data set, go to TDIs agent and adjuster licensing webpage. For detailed search results on individual agencies, agents, and adjusters please click here Detailed reports.",2021-09-22T18:01:33.000Z,2025-02-24T06:32:10.000Z,https://data.texas.gov/dataset/Insurance-agencies-and-businesses-approved-to-mana/3yqc-fcdt
n4rp-ar9b,Active Cigarette/Tobacco Retailers,This file contains information at the outlet level for all Cigarettetobacco Retailers with an active permit. The list is for Distributors to know Authorized Retailers for sales and gives information required for reporting. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies,2022-08-31T14:05:50.000Z,2025-02-24T19:15:18.000Z,https://data.texas.gov/dataset/Active-Cigarette-Tobacco-Retailers/n4rp-ar9b
vmy5-jctb,Local Hotel Occupancy Tax (HOT) Data,"Local Hotel Occupancy Tax HOT data has been compiled by municipalities complying with Tax Code Section 351.009 since 2018. In January 2021, counties began reporting their HOT data in accordance with Tax Code Section 352.009. If local HOT data related to a specific municipality or county is not available in this dataset, it may be because that entity does not levy such a tax or that the local government failed to submit their information to the Comptrollers office within the specified reporting period. The data reported through the Comptrollers Local HOT Submission Form and available in this dataset is self-reported by submitting municipalities, counties, or third parties on their behalf and has not been independently verified by the Texas Comptroller of Public Accounts. Specific questions or concerns regarding a local governments HOT rate, revenue, allocations andor submitted webpage links should be directed to that entity. General questions regarding this spreadsheet, Tax Code Sections 351.009 or 352.009 may be directed to the Comptrollers Transparency Team, either by email transparencycpa.texas.gov or by phone 844-519-5676.",2020-02-27T19:43:32.000Z,2024-03-01T02:07:44.000Z,https://data.texas.gov/dataset/Local-Hotel-Occupancy-Tax-HOT-Data/vmy5-jctb
bc5r-88dy,HHSC CCL Daycare and Residential Operations Data,This Data set contains detailed information about Day Care and or Residential Care Operation that is displayed on the Public site. The Operation ID is a unique key that ties to the other data sets for Child Care Licensing data,2015-09-19T14:39:43.000Z,2025-02-22T10:06:16.000Z,https://data.texas.gov/See-Category-Tile/HHSC-CCL-Daycare-and-Residential-Operations-Data/bc5r-88dy
3kx8-uryv,All Permitted Sales Tax Locations and Local Sales Tax Responsibility,"This file includes all sales tax outlets, and local tax responsibility, in Texas which have been active during the last four years. Inactive outlets will include an Out-of-Business date.",2018-10-25T14:35:39.000Z,2025-02-24T16:52:49.000Z,https://data.texas.gov/dataset/All-Permitted-Sales-Tax-Locations-and-Local-Sales-/3kx8-uryv
52en-tt82,TDA Data Overview - Summer Meal Programs,Overview of summer meal program data available from Texas Department of Agriculture,2019-02-01T21:27:14.000Z,2025-01-07T17:13:03.911Z,https://data.texas.gov/stories/s/52en-tt82
r4v4-vz24,CapMetro GTFS,"A set of comma delimited text files containing schedule data for all fixed route MetroBus lines, and MetroRail. The files use the General Transit Feed Specification, which is documented at httpsdevelopers.google.comtransitgtfsreference.",2015-02-11T19:19:33.000Z,2025-02-23T07:01:05.000Z,https://data.texas.gov/dataset/CapMetro-GTFS/r4v4-vz24
s5av-n7yr,Tax Assessor Collector Licenses/Permits Issued,,2020-07-16T16:07:20.000Z,2021-10-11T21:29:27.385Z,https://data.texas.gov/stories/s/s5av-n7yr
qnwp-dbpj,Office of Waste Registration & Reporting - Incoming Document Search Portal,View incoming documents received by the TCEQ Office of Wastes Registration and Reporting Section along with their receipt and processing status.,2024-03-19T20:35:17.000Z,2025-01-02T15:19:38.055Z,https://data.texas.gov/stories/s/qnwp-dbpj
kguh-7q9z,TABCLicenses,"For Help httpsdata.texas.govvideos For more information, go to TABC Sept. 1, 2021 License Consolidation Explained chart Contains information associated with the licenses, permits, certificates, and authorities granted issued by the Texas Alcoholic Beverage Commission referenced herein as Licenses. This information includes certain identifiers for the licenses, the license holders owners, the license types, and license statuses as more fully defined within this Open Data Portal ODP data file for both the Alcohol Industry Management System AIMS, effective September 1, 2021, and TABCs legacy systems prior to September 1, 2021. This tool has been provided to allow the user to locate information and cross reference the licenses that were migrated from the TABC legacy systems to the AIMS system and for which have been assigned new License numbers effective September 1, 2021.",2021-08-27T11:54:23.000Z,2025-02-24T13:02:12.000Z,https://data.texas.gov/dataset/TABCLicenses/kguh-7q9z
44xp-e439,2024 SRWDBTSSBF Bid Book Spreadsheet,Questions or edits email dir.hubdir.texas.gov. Bid Book Spreadsheet Senator Royce West Doing Business Texas Style Spot Bid Portal FY2024,2024-02-13T22:25:16.000Z,2024-05-16T16:40:47.000Z,https://data.texas.gov/dataset/2024-SRWDBTSSBF-Bid-Book-Spreadsheet/44xp-e439
ft7p-v8a7,Active insurance company appointments for agents and adjusters,"Appointments are formal designations to represent regulated insurance companies. This data set includes a row for each active appointment between an agent or adjuster and an insurance company. To view a list of appointments for agencies and businesses, go to the Active insurance company appointments for agencies and businesses data set. To view a list of non-appointment relationships between agents, agencies, adjusters, and insurance companies, go to the Business relationships between agents, agencies, adjusters, and insurance companies data set.",2021-10-05T18:55:57.000Z,2025-02-24T06:21:03.000Z,https://data.texas.gov/dataset/Active-insurance-company-appointments-for-agents-a/ft7p-v8a7
4ud6-gcrf,Monthly Per Capita Consumption,,2020-08-07T12:28:43.000Z,2024-04-27T18:00:41.013Z,https://data.texas.gov/stories/s/4ud6-gcrf
nutf-4rvq,Bid Book Spreadsheet 2021,2021 SRWDBTSSBF Bid Fair Submission Form,2021-03-09T20:16:21.000Z,2021-06-30T12:44:42.000Z,https://data.texas.gov/dataset/Bid-Book-Spreadsheet-2021/nutf-4rvq
mwzi-gyw7,Texas Commission on Environmental Quality - Notices Of Violation (NOV),"Approved regional investigations resulting in a Notice of Violation NOV and the details associated with each violation that are documented in the Consolidated Compliance and Enforcement Data System CCEDS. All NOVs displayed were sent as physical letters to the Regulated Entities business contacts. An NOV may contain multiple violation citations Category A, B, and C due to identified noncompliance with different regulatory requirements. Note other databases are utilized within the agency and may contain information on additional violations.",2021-04-01T20:27:47.000Z,2024-07-02T15:20:17.000Z,https://data.texas.gov/dataset/Texas-Commission-on-Environmental-Quality-Notices-/mwzi-gyw7
avjc-7u2m,Active insurance company appointments for agencies and businesses,"Appointments are formal designations to represent regulated insurance companies. This data set includes a row for each active appointment between an insurance agency and an insurance company. To view a list of appointments for agents and adjusters, go to the Active insurance company appointments for agents and adjusters data set. To view a list of non-appointment relationships between agents, agencies, adjusters, and insurance companies, go to the Business relationships between agents, agencies, adjusters, and insurance companies data set.",2021-10-05T18:41:39.000Z,2025-02-24T06:04:39.000Z,https://data.texas.gov/dataset/Active-insurance-company-appointments-for-agencies/avjc-7u2m
53pa-m7sm,"Sales Tax Allocation, City-County Comparison Summary","Sales tax allocation comparison summary reports present data on monthly local sales and use tax payments to local jurisdictions. These payments represent funds identified for local jurisdictions since the previous months distribution. When used with other local indicators, these reports may help indicate present and future economic trends. This table lists entities alphabetically by county name, then alphabetically by cities within the county. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies.",2016-08-03T17:04:02.000Z,2025-02-12T17:35:19.000Z,https://data.texas.gov/Government-and-Taxes/Sales-Tax-Allocation-City-County-Comparison-Summar/53pa-m7sm
pa9u-9s9w,Complaint indexes and policy counts for insurance companies,The Texas Department of Insurance TDI regulates the states insurance industry and oversees the administration of the Texas workers compensation system. This data set includes counts for confirmed complaints and policies in force by company name and line of coverage. The complaint index is calculated by dividing the companys percentage of complaints for a specific line of insurance by the companys percentage of policies in force for the same line of insurance. The average index is 1.00. A number less than 1 indicates fewer complaints than average. A number greater than 1 indicates more complaints than average. Please visit TDI Complaints All Data for details about processed complaints.,2021-10-01T17:06:34.000Z,2025-02-24T06:32:47.000Z,https://data.texas.gov/dataset/Complaint-indexes-and-policy-counts-for-insurance-/pa9u-9s9w
6dh5-cse4,Superintendent Salary Report by District for School Year 2023-2024,Texas public school district superintendent salary information as of October 2023.,2023-02-15T16:44:10.000Z,2024-05-17T15:23:40.000Z,https://data.texas.gov/dataset/Superintendent-Salary-Report-by-District-for-Schoo/6dh5-cse4
ups3-9e8m,Texas Counties Centroid Map,Texas county centroid latitude and longitude map data.,2017-01-18T14:53:34.000Z,2023-07-17T21:30:13.000Z,https://data.texas.gov/dataset/Texas-Counties-Centroid-Map/ups3-9e8m
ht7q-btr7,Texas Department of Transportation Traffic Safety Data Portal: Impaired Driving,See impaired driving traffic fatality trending data and peak traffic fatality days and hours data.,2021-10-18T20:24:25.000Z,2024-09-03T15:06:27.213Z,https://data.texas.gov/stories/s/ht7q-btr7
tmhs-ahbh,"Sales Tax Allocation, Tax Rates",This report shows jurisdictions adopting new or changed sales tax rates. The rates shown are for each jurisdiction and do not represent the total rate in the area.,2016-08-08T16:44:49.000Z,2025-02-12T17:35:32.000Z,https://data.texas.gov/Government-and-Taxes/Sales-Tax-Allocation-Tax-Rates/tmhs-ahbh
9apk-jjpi,Bid Book Spreadsheet 2018,,2018-02-01T17:42:45.000Z,2021-08-18T16:14:46.000Z,https://data.texas.gov/Government-and-Taxes/Bid-Book-Spreadsheet-2018/9apk-jjpi
yqzs-yaft,TxRC Individual Licensees,Individuals currently licensed by the Texas Racing Commission as of 12212021. Foreign addresses are not included in this dataset. Please contact TxRC for further information.,2016-08-23T22:52:59.000Z,2022-02-24T21:05:06.000Z,https://data.texas.gov/dataset/TxRC-Individual-Licensees/yqzs-yaft
uk2f-keq4,Bid Book Spreadsheet 2020,,2020-01-14T17:41:25.000Z,2022-07-11T15:12:21.000Z,https://data.texas.gov/Government-and-Taxes/Bid-Book-Spreadsheet-2020/uk2f-keq4
jx8f-z4hu,Texas Commission on Environmental Quality - Petroleum Storage Tank (PST) Delivery Certificates,"Delivery certificates issued for Petroleum Storage Tanks PSTs which authorize petroleum deliveries. Information including facility numbers, owner information, and expiration dates are available for both registered and self-certified PSTs.",2021-09-21T20:11:42.000Z,2025-02-24T14:01:07.000Z,https://data.texas.gov/dataset/Texas-Commission-on-Environmental-Quality-Petroleu/jx8f-z4hu
ggyg-54bh,Mixed Beverage Tax Receipts,"See the attached PDF for a detailed description of each tax type. The Comptroller of Public Accounts is charged by statute, Tex. Govt Code  403.0142, with reporting and posting the amounts of revenue remitted from each Texas municipality and county for taxes whose location information is available from tax returns. The revenue is presented by county only because specific cities could not be definitively determined from the report data. Returns submitted directly by local governments are open records and include their names and addresses. Due to confidentiality restrictions, amounts reported by businesses cannot be provided when less than four businesses report for a specific county. This data is posted quarterly, six months after the end of the quarterly data period to allow for collection actions when needed.",2017-12-05T19:55:16.000Z,2025-01-15T03:56:03.000Z,https://data.texas.gov/Government-and-Taxes/Mixed-Beverage-Tax-Receipts/ggyg-54bh
qwhy-c2kk,Bid Book Spreadsheet 2017,Spot Bid Fair 2017,2017-02-08T17:16:10.000Z,2021-08-18T16:15:04.000Z,https://data.texas.gov/Business-and-Economy/Bid-Book-Spreadsheet-2017/qwhy-c2kk
qsh8-tby8,"Sales Tax Allocation: County, MTA, SPD","Sales tax allocation comparison summary reports present data on monthly local sales and use tax payments to local jurisdictions. These payments represent funds identified for local jurisdictions since the previous months distribution. When used with other local indicators, these reports may help indicate present and future economic trends. This table contains data for counties, Special-Purpose Districts SPDs, Metropolitan Transit Authorities MTAs, and city transit departments CTDs. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies.",2016-07-21T16:14:30.000Z,2025-02-12T17:35:26.000Z,https://data.texas.gov/dataset/Sales-Tax-Allocation-County-MTA-SPD/qsh8-tby8
jjc8-mxkg,Insurance complaints: One record / complaint,"The Texas Department of Insurance TDI handles complaints against people and organizations licensed by TDI, such as companies, agents, and adjusters. To learn more, go to the TDI webpage, How to get help with an insurance issue or file a complaint.nbsp  This dataset does not include the person or organization the complaint is filed against. To view the dataset that includes the Complaint filed against column, use TDI Complaints All Data.",2021-06-29T18:54:50.000Z,2025-02-24T06:28:11.000Z,https://data.texas.gov/dataset/Insurance-complaints-One-record-complaint/jjc8-mxkg
89zk-ru79,2023 SRWDBTSSBF Bid Book Spreadsheet,Questions or edits email dir.hubdir.texas.gov. Bid Book Spreadsheet Senator Royce West Doing Business Texas Style Spot Bid Portal FY2023,2023-01-13T18:49:30.000Z,2023-05-26T18:52:17.000Z,https://data.texas.gov/dataset/2023-SRWDBTSSBF-Bid-Book-Spreadsheet/89zk-ru79
vjyu-5dsx,All Permitted Sales Tax Locations and Local Sales Tax Responsibility / Intro Page,,2019-12-09T16:47:08.000Z,2020-05-26T19:48:48.858Z,https://data.texas.gov/stories/s/vjyu-5dsx
yrkr-maw5,All Cigarette and Tobacco Retailers,This file contains information at the outlet level for all CigaretteTobacco Retailers with an active permit or that have been active within the last four years. The list is for Distributors to know Authorized Retailers for sales and gives information required for reporting. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies,2022-08-31T14:31:00.000Z,2025-02-24T19:27:28.000Z,https://data.texas.gov/dataset/All-Cigarette-and-Tobacco-Retailers/yrkr-maw5
pjik-cxkm,Insurance complaint totals (pie chart),"This pie chart shows the total number of complaints closed by the Texas Department of Insurance for each insurance company. The category Other represents licensees, like agents and adjusters and small insurance companies not listed in the chart legend, but included in the dataset.",2021-07-07T12:06:01.000Z,2025-02-24T06:27:41.000Z,https://data.texas.gov/dataset/Insurance-complaint-totals-pie-chart-/pjik-cxkm
d45y-gy4g,Digital Transformation Guide,"The Texas Department of Information Resources DIR has established a digital transformation guide to assist agencies with modernizing agency operations and services with respect to electronic data and converting agency information into electronic data. The purpose of the guide is to help Texas government take the next steps to advance digital transformation and improve the customer experience, no matter where the organization is on its digital journey.",2020-11-16T20:45:26.000Z,2023-08-02T19:26:51.229Z,https://data.texas.gov/stories/s/d45y-gy4g
7hf9-qc9f,TABC License Information,"The TABC License Information dataset includes valuable information associated with each primary license issued by TABC as the result of a successfully submitted, processed. and approved application for one of the twenty eight 28 primary license types for a given business entity. Such information includes data in seven 7 subtopics identifiers, effective dates, managing entities, attributes, subordinate information, contact information and legacy identifier.",2022-07-30T17:11:05.000Z,2025-02-24T13:30:35.000Z,https://data.texas.gov/dataset/TABC-License-Information/7hf9-qc9f
tj7s-7tc8,Mixed Beverage Gross Receipts - Intro Page,,2018-09-14T20:39:34.000Z,2020-02-19T19:42:52.178Z,https://data.texas.gov/stories/s/tj7s-7tc8
4qh5-bvt7,Bid Book Spreadsheet 2019,,2018-08-27T14:39:28.000Z,2022-07-11T15:12:30.000Z,https://data.texas.gov/Government-and-Taxes/Bid-Book-Spreadsheet-2019/4qh5-bvt7
xmtn-e5c8,CPS 2.1 Removals - by County FY2015-2024,"A removal occurs when CPS determines that a child cannot safely remain in their own home and that DFPS needs to seek legal custody to ensure child safety. Removals can occur in an investigation, family preservation, family substitute care or family reunification stage. More information at www.dfps.texas.gov.",2017-03-16T19:51:31.000Z,2025-01-30T19:43:36.000Z,https://data.texas.gov/dataset/CPS-2-1-Removals-by-County-FY2015-2024/xmtn-e5c8
fey9-gcem,2022 SRWDBTSSBF Bid Book Spreadsheet,Questions or edits email dir.hubdir.texas.gov. Bid Book Spreadsheet Senator Royce West Doing Business Texas Style Spot Bid Portal FY2022,2022-01-07T21:03:02.000Z,2022-05-05T16:14:42.000Z,https://data.texas.gov/dataset/2022-SRWDBTSSBF-Bid-Book-Spreadsheet/fey9-gcem
4v6c-qfkr,OFFICIAL -  Customer list - Cooperative Contracts -Texas Department of Information Resources - - Data from vendor sales reports,This data is a listing of customers reported from the monthly vendor sales reports.,2021-02-05T21:04:37.000Z,2022-11-28T17:47:47.000Z,https://data.texas.gov/dataset/OFFICIAL-Customer-list-Cooperative-Contracts-Texas/4v6c-qfkr
